stress_id,case_id,slice,bridge_bucket,source_condition,source_run,response_A_source,response_B_source,response_A_sha256,response_B_sha256
repair_same_candidate_001,dialogue_v3_015_predicate_check_semantics,main_scaffold_eval,predicate_check_semantics,bridge_contract_compact_guard_repair,dialogue_state_v3_main_bridge_contract,before_repair,after_repair,13641f9698430901,863dad45b00312a8
repair_same_candidate_002,dialogue_v3_025_modeling_object_relation,main_scaffold_eval,modeling_object_relation,bridge_contract_compact_guard_repair,dialogue_state_v3_main_bridge_contract,before_repair,after_repair,711e4476ee458c72,045162d6aafe6a25
repair_same_candidate_003,dialogue_v3_027_aggregation_contribution_summary,main_scaffold_eval,aggregation_contribution_summary,bridge_contract_compact_guard_repair,dialogue_state_v3_main_bridge_contract,before_repair,after_repair,486c5fd667312a89,46072c4c2d566803
repair_same_candidate_004,dialogue_v3_028_aggregation_contribution_summary,main_scaffold_eval,aggregation_contribution_summary,bridge_contract_compact_guard_repair,dialogue_state_v3_main_bridge_contract,before_repair,after_repair,68f09f6719409e3e,34ac46083c9f3f6f
repair_same_candidate_005,dialogue_v3_029_aggregation_contribution_summary,main_scaffold_eval,aggregation_contribution_summary,bridge_contract_compact_guard_repair,dialogue_state_v3_main_bridge_contract,after_repair,before_repair,1eb50cb2bdbe6d57,1eb50cb2bdbe6d57
repair_same_candidate_006,dialogue_v3_030_aggregation_contribution_summary,main_scaffold_eval,aggregation_contribution_summary,bridge_contract_compact_guard_repair,dialogue_state_v3_main_bridge_contract,before_repair,after_repair,8c683febd51fa552,83835ed45ee38413
repair_same_candidate_007,dialogue_v3_032_data_structure_operation_semantics,main_scaffold_eval,data_structure_operation_semantics,bridge_contract_compact_guard_repair,dialogue_state_v3_main_bridge_contract,before_repair,after_repair,fcec31839243a0f4,5f11e3b778ae8504
repair_same_candidate_008,dialogue_v3_011_transition_recurrence_source,main_scaffold_eval,transition_recurrence_source,dbox_inspired_guard_repair,dialogue_state_v3_dbox_repair_addon,after_repair,before_repair,23ffdc03c868f47d,fcb38c8e456094a3
repair_same_candidate_009,dialogue_v3_012_predicate_check_semantics,main_scaffold_eval,predicate_check_semantics,dbox_inspired_guard_repair,dialogue_state_v3_dbox_repair_addon,before_repair,after_repair,eabe56e1514383b4,f82dd75f52a85318
repair_same_candidate_010,dialogue_v3_013_predicate_check_semantics,main_scaffold_eval,predicate_check_semantics,dbox_inspired_guard_repair,dialogue_state_v3_dbox_repair_addon,after_repair,before_repair,b47a73d441fac5ef,4f8566ee222b05ab
